"","year","Lable","IB","Period","UB"
"1",2012,"Summa långfristiga skulder",-52387205,2913715,-49473490
"2",2012,"Summa kortfristiga skulder",150470,-1356635,-1206165
"3",2013,"Summa långfristiga skulder",-49473490,3074761,-46398729
"4",2013,"Summa kortfristiga skulder",-1206165,-702809,-1908974
"5",2014,"Summa långfristiga skulder",-46398729,2018551,-44380178
"6",2014,"Summa kortfristiga skulder",-1908974,-786028,-2695002
"7",2015,"Summa långfristiga skulder",-44380178,1532378,-42847800
"8",2015,"Summa kortfristiga skulder",-2695002,-334001,-3029003
"9",2016,"Summa långfristiga skulder",-42847800,1082110,-41765690
"10",2016,"Summa kortfristiga skulder",-3029003,43039,-2985964
"11",2017,"Summa långfristiga skulder",-41765690,745590,-41020100
"12",2017,"Summa kortfristiga skulder",-2985964,-33806,-3019769
"13",2018,"Summa långfristiga skulder",-41020100,-1810330,-42830430
"14",2018,"Summa kortfristiga skulder",-3019769,1922129,-1097641
"15",2019,"Summa långfristiga skulder",-42830430,1319780,-41510650
"16",2019,"Summa kortfristiga skulder",-1097641,-1083139,-2180780
"17",2020,"Summa långfristiga skulder",-41510650,-405710,-41916360
"18",2020,"Summa kortfristiga skulder",-2180780,493669,-1687112
"19",2021,"Summa långfristiga skulder",-41916360,8377000,-33539360
"20",2021,"Summa kortfristiga skulder",-1687112,-9064881,-10751992
"21",2022,"Summa långfristiga skulder",-33539360,2971000,-30568360
"22",2022,"Summa kortfristiga skulder",-10751992,-3067450,-13819442
